-31.083,-43.553,-1.7829,-5.7995
-31.773,-44.077,-1.7862,-5.8963
-32.523,-44.67,-1.7885,-6.0054
-33.287,-45.28,-1.7905,-6.1176
-34.115,-45.963,-1.7911,-6.2433
-34.959,-46.665,-1.7914,-6.3724
-35.874,-47.447,-1.79,-6.5166
-36.806,-48.248,-1.7882,-6.6645
-37.816,-49.137,-1.7842,-6.8295
-38.845,-50.046,-1.7797,-6.9985
-39.961,-51.051,-1.7726,-7.1868
-41.096,-52.077,-1.7647,-7.3796
-42.329,-53.211,-1.7535,-7.5944
-43.584,-54.367,-1.7415,-7.8142
-44.949,-55.642,-1.7254,-8.0595
-46.338,-56.941,-1.7082,-8.3102
-47.852,-58.374,-1.6859,-8.5905
-49.392,-59.834,-1.6623,-8.8769
-51.075,-61.444,-1.6323,-9.198
-52.786,-63.084,-1.601,-9.5261
-54.663,-64.895,-1.5615,-9.895
-56.57,-66.738,-1.5205,-10.272
-58.668,-68.778,-1.4693,-10.697
-60.801,-70.854,-1.4162,-11.132
-63.156,-73.157,-1.3505,-11.625
-65.55,-75.5,-1.2824,-12.129
-68.203,-78.108,-1.1985,-12.704
-70.901,-80.761,-1.1118,-13.291
-73.906,-83.726,-1.005,-13.964
-76.961,-86.741,-0.89478,-14.652
-80.38,-90.125,-0.75911,-15.447
-83.856,-93.566,-0.61917,-16.259
-87.77,-97.448,-0.44658,-17.205
-91.748,-101.4,-0.26873,-18.171
-96.255,-105.88,-0.048592,-19.306
-100.84,-110.43,0.17807,-20.466
-106.06,-115.63,0.46007,-21.841
-111.38,-120.93,0.75026,-23.247
-117.49,-127.01,1.1138,-24.93
-123.7,-133.2,1.4876,-26.652
-130.89,-140.38,1.9598,-28.739
-138.22,-147.69,2.4453,-30.874
-146.78,-156.23,3.0645,-33.496
-155.49,-164.93,3.701,-36.178
-165.76,-175.19,4.5219,-39.515
-175.88,-185.31,5.3528,-42.84
-184.29,-193.85,6.2987,-46.023
-192.07,-201.77,7.2259,-49.048
-192.1,-202.09,7.9246,-50.134
-191.85,-202.11,8.5992,-51.135
-187.74,-198.07,8.9565,-51.003
-183.49,-193.88,9.2864,-50.808
-177.27,-187.56,9.224,-49.697
-171.26,-181.45,9.1551,-48.62
-168.59,-178.64,8.9854,-48.076
-166.27,-176.17,8.8255,-47.612
-169.97,-179.79,8.8351,-48.511
-174.11,-183.84,8.8676,-49.52
-186.43,-196.14,9.3328,-52.624
-199.29,-208.99,9.838,-55.888
-223.89,-233.63,11.187,-62.538
-249.18,-258.96,12.601,-69.414
-291,-300.83,15.545,-81.697
-333.02,-342.88,18.543,-94.092
-380.32,-389.95,23.012,-109.59
-424.39,-433.78,27.258,-124.11
-364.9,-373.36,24.33,-107.28
-304.48,-312.04,21.265,-90.154
-207.77,-215.44,12.881,-61.353
-111.81,-119.61,4.5019,-32.84
-52.454,-60.576,-3.5764,-18.411
5.9697,-2.48,-11.466,-4.174
3.4741,-5.4251,-7.0508,-2.4478
1.017,-8.3271,-2.6812,-0.73656
2.3519,-6.9849,-2.8361,-0.50205
3.6779,-5.6514,-2.9884,-0.26824
3.2727,-6.0597,-2.6163,-0.1713
2.8674,-6.4679,-2.2443,-0.074355
